downloads,vol id,vol name,asset id,asset name,shared,
3,1,None,10068,Regional Workshop in Philadelphia,yes,
1,1,None,15663,Bethesda PLAY Workshop,yes,
1,1,None,9224,Regional Workshop at NYU (Slides only),yes,
1,1,None,9578,CDS Preconference Workshop,yes,
1,2,None,9,moore-downtown-henderson,yes,
2,4,ET CrawlWalk (incl. motion tracking),39,None,yes,
1,4,ET CrawlWalk (incl. motion tracking),15,None,yes,
1,4,ET CrawlWalk (incl. motion tracking),27,None,yes,
1,4,ET CrawlWalk (incl. motion tracking),35,None,yes,
1,4,ET CrawlWalk (incl. motion tracking),36,None,yes,
1,4,ET CrawlWalk (incl. motion tracking),45,None,yes,
1,4,ET CrawlWalk (incl. motion tracking),63,None,yes,
1,5,BridgesCrawlWalk,6049,None,yes,
1,5,BridgesCrawlWalk,6083,None,yes,
1,5,BridgesCrawlWalk,91,None,yes,
1,7,LedgeWedge,168,None,yes,
6,8,MetroBaby,241,None,yes,
3,8,MetroBaby,1740,None,yes,
3,8,MetroBaby,9057,None,yes,
2,8,MetroBaby,334,None,yes,
2,8,MetroBaby,544,None,yes,
2,8,MetroBaby,6239,None,yes,
2,8,MetroBaby,630,None,yes,
2,8,MetroBaby,728,None,yes,
2,8,MetroBaby,9039,None,yes,
1,8,MetroBaby,1649,None,yes,
1,8,MetroBaby,190,None,yes,
1,8,MetroBaby,192,None,yes,
1,8,MetroBaby,2071,None,yes,
1,8,MetroBaby,2126,None,yes,
1,8,MetroBaby,2159,None,yes,
1,8,MetroBaby,2194,None,yes,
1,8,MetroBaby,232,None,yes,
1,8,MetroBaby,256,None,yes,
1,8,MetroBaby,280,None,yes,
1,8,MetroBaby,292,None,yes,
1,8,MetroBaby,323,None,yes,
1,8,MetroBaby,333,None,yes,
1,8,MetroBaby,341,None,yes,
1,8,MetroBaby,344,None,yes,
1,8,MetroBaby,347,None,yes,
1,8,MetroBaby,357,None,yes,
1,8,MetroBaby,403,None,yes,
1,8,MetroBaby,4445,None,yes,
1,8,MetroBaby,4450,None,yes,
1,8,MetroBaby,446,None,yes,
1,8,MetroBaby,447,None,yes,
1,8,MetroBaby,450,None,yes,
1,8,MetroBaby,4533,None,yes,
1,8,MetroBaby,455,None,yes,
1,8,MetroBaby,461,None,yes,
1,8,MetroBaby,4623,None,yes,
1,8,MetroBaby,502,None,yes,
1,8,MetroBaby,505,None,yes,
1,8,MetroBaby,546,None,yes,
1,8,MetroBaby,6241,None,yes,
1,8,MetroBaby,661,None,yes,
1,8,MetroBaby,693,None,yes,
1,8,MetroBaby,9033,None,yes,
1,8,MetroBaby,9046,None,yes,
1,8,MetroBaby,9052,None,yes,
1,8,MetroBaby,9063,None,yes,
1,8,MetroBaby,9075,None,yes,
1,8,MetroBaby,9083,None,yes,
1,8,MetroBaby,9086,None,yes,
1,8,MetroBaby,9087,None,yes,
4,9,Playground,6113,None,yes,
1,10,Piraḥ,6115,Piraha-1,yes,
1,11,Culture_Tajikistan_Gahvora,7830,None,no,
1,15,Messinger12,9829,Top-level materials,yes,
2,28,SlopesMonograph,9838,Top-level materials,yes,
58,30,CAFE,6303,None,yes,
16,30,CAFE,6279,None,yes,
14,30,CAFE,9822,Top-level materials,yes,
9,30,CAFE,6304,None,yes,
8,30,CAFE,6300,None,yes,
7,30,CAFE,6280,None,yes,
6,30,CAFE,6294,None,yes,
6,30,CAFE,6367,None,yes,
6,30,CAFE,6431,None,yes,
5,30,CAFE,6305,None,yes,
5,30,CAFE,6310,None,yes,
5,30,CAFE,6369,None,yes,
4,30,CAFE,6306,None,yes,
4,30,CAFE,6311,None,yes,
4,30,CAFE,6360,None,yes,
4,30,CAFE,6372,None,yes,
4,30,CAFE,6399,None,yes,
4,30,CAFE,6410,None,yes,
4,30,CAFE,6422,None,yes,
3,30,CAFE,6281,None,yes,
3,30,CAFE,6293,None,yes,
3,30,CAFE,6295,None,yes,
3,30,CAFE,6301,None,yes,
3,30,CAFE,6302,None,yes,
3,30,CAFE,6307,None,yes,
3,30,CAFE,6309,None,yes,
3,30,CAFE,6312,None,yes,
3,30,CAFE,6318,None,yes,
3,30,CAFE,6321,None,yes,
3,30,CAFE,6338,None,yes,
3,30,CAFE,6353,None,yes,
3,30,CAFE,6368,None,yes,
3,30,CAFE,6377,None,yes,
3,30,CAFE,6386,None,yes,
3,30,CAFE,6396,None,yes,
3,30,CAFE,6398,None,yes,
3,30,CAFE,6400,None,yes,
3,30,CAFE,6401,None,yes,
3,30,CAFE,6406,None,yes,
3,30,CAFE,6416,None,yes,
3,30,CAFE,6432,None,yes,
2,30,CAFE,6290,None,yes,
2,30,CAFE,6291,None,yes,
2,30,CAFE,6308,None,yes,
2,30,CAFE,6314,None,yes,
2,30,CAFE,6322,None,yes,
2,30,CAFE,6336,None,yes,
2,30,CAFE,6339,None,yes,
2,30,CAFE,6346,None,yes,
2,30,CAFE,6364,None,yes,
2,30,CAFE,6365,None,yes,
2,30,CAFE,6375,None,yes,
2,30,CAFE,6376,None,yes,
2,30,CAFE,6378,None,yes,
2,30,CAFE,6379,None,yes,
2,30,CAFE,6387,None,yes,
2,30,CAFE,6395,None,yes,
2,30,CAFE,6403,None,yes,
2,30,CAFE,6404,None,yes,
2,30,CAFE,6405,None,yes,
2,30,CAFE,6407,None,yes,
2,30,CAFE,6411,None,yes,
2,30,CAFE,6412,None,yes,
2,30,CAFE,6417,None,yes,
2,30,CAFE,6420,None,yes,
2,30,CAFE,6423,None,yes,
2,30,CAFE,6424,None,yes,
2,30,CAFE,6426,None,yes,
2,30,CAFE,6427,None,yes,
2,30,CAFE,6430,None,yes,
2,30,CAFE,6433,None,yes,
2,30,CAFE,6435,None,yes,
1,30,CAFE,6282,None,yes,
1,30,CAFE,6283,None,yes,
1,30,CAFE,6284,None,yes,
1,30,CAFE,6285,None,yes,
1,30,CAFE,6289,None,yes,
1,30,CAFE,6297,None,yes,
1,30,CAFE,6298,None,yes,
1,30,CAFE,6325,None,yes,
1,30,CAFE,6328,None,yes,
1,30,CAFE,6329,None,yes,
1,30,CAFE,6333,None,yes,
1,30,CAFE,6335,None,yes,
1,30,CAFE,6337,None,yes,
1,30,CAFE,6340,None,yes,
1,30,CAFE,6341,None,yes,
1,30,CAFE,6342,None,yes,
1,30,CAFE,6350,None,yes,
1,30,CAFE,6352,None,yes,
1,30,CAFE,6357,None,yes,
1,30,CAFE,6362,None,yes,
1,30,CAFE,6363,None,yes,
1,30,CAFE,6366,None,yes,
1,30,CAFE,6370,None,yes,
1,30,CAFE,6373,None,yes,
1,30,CAFE,6374,None,yes,
1,30,CAFE,6380,None,yes,
1,30,CAFE,6383,None,yes,
1,30,CAFE,6385,None,yes,
1,30,CAFE,6390,None,yes,
1,30,CAFE,6391,None,yes,
1,30,CAFE,6394,None,yes,
1,30,CAFE,6397,None,yes,
1,30,CAFE,6413,None,yes,
1,30,CAFE,6414,None,yes,
1,30,CAFE,6418,None,yes,
1,30,CAFE,6421,None,yes,
1,30,CAFE,6428,None,yes,
1,30,CAFE,6429,None,yes,
1,30,CAFE,6434,None,yes,
1,30,CAFE,6436,None,yes,
1,31,gilmore-rettke-2003,6437,None,yes,
1,33,Representing Exact Number with Mental Abacus,9840,Top-level materials,yes,
1,35,Number as cognitive technology,9839,Top-level materials,yes,
2,36,Development of social attention,9836,Top-level materials,yes,
2,37,Visual search and attention to faces,9804,Top-level materials,yes,
2,40,Magnet imitation task demonstration,9823,Top-level materials,yes,
1,40,Magnet imitation task demonstration,6446,None,yes,
2,42,40 head camera clips object play,6450,None,yes,
1,42,40 head camera clips object play,6457,None,yes,
1,42,40 head camera clips object play,9851,Top-level materials,yes,
1,44,None,9809,Top-level materials,yes,
1,45,None,9853,Top-level materials,yes,
1,46,Reaching and looking measures of Gestalt perception,9861,Top-level materials,yes,
1,53,None,9813,Top-level materials,yes,
1,61,Science scale errors,9850,Top-level materials,yes,
1,62,None,9834,Top-level materials,yes,
1,65,None,9832,Top-level materials,yes,
4,70,Gesell,11883,Documents,yes,
2,70,Gesell,7636,CHP-G-1005-182,yes,
2,70,Gesell,9430,CHP-G-1020-444,yes,
1,70,Gesell,6956,CHP-G-1001-141,yes,
1,70,Gesell,9405,CHP-G-1016-336,yes,
1,70,Gesell,9419,CHP-G-1018-433,yes,
1,70,Gesell,9435,CHP-G-1021-453,yes,
1,70,Gesell,9454,CHP-G-1025-472,yes,
1,70,Gesell,9457,CHP-G-1026-475,yes,
1,70,Gesell,9462,CHP-G-1027-480,yes,
1,70,Gesell,9476,CHP-G-1030-493,yes,
1,81,natural-scene-statistics-across-culture (Locomotion Coding),7580,None,yes,
1,81,natural-scene-statistics-across-culture (Locomotion Coding),7700,None,yes,
1,86,None,6553,None,yes,
1,87,ContainersTwist&Tupperware,6959,None,no,
1,88,BabyOH,7036,None,no,
1,88,BabyOH,7059,None,no,
2,89,SOM NY,7298,None,no,
1,89,SOM NY,7323,None,no,
1,89,SOM NY,7340,None,no,
1,90,Providence,6582,ale28,yes,
1,90,Providence,6599,ale25,yes,
3,98,False Belief,6968,None,yes,
1,98,False Belief,6970,None,yes,
2,99,Faces in early visual environments of infants,9797,Top-level materials,yes,
1,101,Head-camera face detection,9191,XS_0807,no,
4,108,FF-NSF,10313,None,yes,
2,108,FF-NSF,7919,None,yes,
1,108,FF-NSF,10328,None,yes,
1,108,FF-NSF,10830,Attachment Codes,yes,
1,108,FF-NSF,7921,None,yes,
1,108,FF-NSF,9146,None,yes,
1,108,FF-NSF,9235,None,yes,
1,108,FF-NSF,9236,None,yes,
1,108,FF-NSF,9237,None,yes,
9,112,None,9228,None,yes,
4,112,None,9860,Top-level materials,yes,
1,114,Hammers,7910,None,no,
1,118,Baldwin,7987,None,no,
2,122,Infant Parent Play,8316,RGE072510,no,
1,122,Infant Parent Play,8291,RMG070810,no,
1,122,Infant Parent Play,8319,JMR072710,no,
